4600.0, 244.0, 14.0,	16,	2.2, 3.0, 4.0, 354.0, 8.0,	0.05, 59.0, 59.0,	14.51,	17,	262, 16.0, 326.0,	4,	0.6,	247,	13,	1,	0.08,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
4400.0, 231.0, 15.0,	16,	2, 3.0, 4.0, 333.0, 7.0,	0.05, 56.0, 57.0,	14.03,	16,	263, 15.0, 293.0,	4,	0.6,	234,	13,	0,	0.08,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
4200.0, 218.0, 15.0,	15,	1.9, 3.0, 4.0, 312.0, 7.0,	0.04, 53.0, 54.0,	13.16,	15,	265, 14.0, 263.0,	2,	0.6,	221,	13,	0,	0.08,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
4000.0, 206.0, 16.0,	14,	1.7, 3.0, 4.0, 290.0, 6.0,	0.04, 51.0, 52.0,	12.31,	14,	267, 13.0, 234.0,	2,	0.5,	209,	12,	1,	0.08,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
3800.0, 193.0, 16.0,	13,	1.5, 3.0, 4.0, 268.0, 6.0,	0.03, 47.0, 50.0,	11.46,	13,	269, 13.0, 208.0,	2,	0.5,	1,	1,	1,	0.01,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
3600.0, 181.0, 16.0,	13,	1.4, 2.0, 3.0, 245.0, 5.0,	0.03, 44.0, 47.0,	11.02,	13,	271, 12.0, 185.0,	2,	0.5,	1,	1,	1,	0.01,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
3400.0, 170.0, 17.0,	12,	1.3, 2.0, 3.0, 223.0, 5.0,	0.03, 41.0, 45.0,	10.19,	12,	273, 11.0, 162.0,	2,	0.5,	1,	1,	1,	0.01,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
3200.0, 158.0, 17.0,	11,	1.1, 2.0, 3.0, 200.0, 4.0,	0.02, 38.0, 43.0,	9.37,	11,	276, 10.0, 142.0,	2,	0.4,	1,	1,	1,	0.01,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
3000.0, 147.0, 17.0,	11,	1, 2.0, 3.0, 178.0, 4.0,	0.02, 35.0, 40.0,	8.55,	10,	278, 10.0, 123.0,	2,	0.4,	1,	1,	1,	0.01,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
2800.0, 136.0, 18.0,	10,	0.9, 2.0, 3.0, 156.0, 3.0,	0.02, 31.0, 38.0,	8.15,	9.2,	281, 9.0, 105.0,	2,	0.4,	1,	1,	1,	0.01,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
2600.0, 125.0, 18.0,	9.7,	0.8, 2.0, 2.0, 135.0, 3.0,	0.01, 28.0, 36.0,	7.35,	8.4,	283, 8.0, 90.0,	2,	0.3,	1,	1,	1,	0.01,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
2400.0, 115.0, 18.0,	9.1,	0.7, 1.0, 2.0, 114.0, 2.0,	0.01, 25.0, 34.0,	6.56,	7.6,	286, 7.0, 75.0,	2,	0.3,	1,	1,	1,	0.01,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
2200.0, 104.0, 19.0,	8.6,	0.6, 1.0, 2.0, 94.0, 2.0,	0.01, 21.0, 31.0,	6.18,	6.9,	289, 7.0, 63.0,	2,	0.3,	1,	1,	1,	0.01,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
2000.0, 94.0, 19.0,	8.1,	0.5, 1.0, 2.0, 76.0, 2.0,	0.01, 19.0, 29.0,	5.40,	6.2,	291, 6.0, 51.0,	2,	0.3,	1,	1,	1,	0.01,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
1800.0, 84.0, 20.0,	7.6,	0.5, 1.0, 2.0, 59.0, 1.0,	0.01, 16.0, 27.0,	5.03,	5.5,	294, 5.0, 41.0,	2,	0.3,	1,	1,	1,	0.01,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
1600.0, 74.0, 20.0,	7.1,	0.4, 1.0, 1.0, 44.0, 1.0,	0.01, 13.0, 24.0,	4.27,	4.8,	298, 5.0, 32.0,	2,	0.3,	1,	1,	1,	0.01,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
1400.0, 64.0, 20.0,	6.6,	0.3, 1.0, 1.0, 31.0, 1.0,	0, 10.0, 21.0,	3.52,	4.1,	301, 4.0, 23.0,	2,	0.2,	1,	1,	1,	0.01,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
1200.0, 55.0, 20.0,	6.1,	0.3, 1.0, 1.0, 21.0, 1.0,	0, 8.0, 19.0,	3.17,	3.5,	304, 3.0, 17.0,	2,	0.2,	1,	1,	1,	0.01,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
1000.0, 45.0, 21.0,	5.7,	0.2, 1.0, 1.0, 14.0, 0.0,	0, 6.0, 16.0,	2.42,	2.8,	308, 3.0, 12.0,	2,	0.2,	1,	1,	1,	0.01,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
800.0, 36.0, 21.0,	5.3,	0.2, 0.0, 1.0, 8.0, 0.0,	0, 4.0, 13.0,	2.09,	2.2,	312, 2.0, 7.0,	2,	0.2,	1,	1,	1,	0.01,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
600.0, 27.0, 22.0,	5,	0.1, 0.0, 1.0, 4.0, 0.0,	0, 2.0, 10.0,	1.36,	1.6,	316, 1.0, 4.0,	2,	0.2,	1,	1,	1,	0.01,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
400.0, 18.0, 22.0,	4.7,	0.1, 0.0, 0.0, 2.0, 0.0,	0, 1.0, 7.0,	1.04,	1.1,	321, 1.0, 2.0,	2,	0.2,	1,	1,	1,	0.01,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
200.0, 9.0, 22.0,	4.5,	0, 0.0, 0.0, 0.0, 0.0,	0.01, 0.0, 4.0,	0.32,	0.5,	327, 0.0, 0.0,	2,	0.2,	1,	1,	1,	0.01,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
